img_path,frame_idx,time_stamp
slides/slide_83409_00-46-23.080.jpg,83409,00:46:23.080
slides/slide_83582_00-46-28.852.jpg,83582,00:46:28.852
slides/slide_83752_00-46-34.525.jpg,83752,00:46:34.525
slides/slide_86031_00-47-50.567.jpg,86031,00:47:50.567
slides/slide_87206_00-48-29.773.jpg,87206,00:48:29.773
slides/slide_88184_00-49-02.406.jpg,88184,00:49:02.406
slides/slide_88798_00-49-22.893.jpg,88798,00:49:22.893
slides/slide_90950_00-50-34.698.jpg,90950,00:50:34.698
slides/slide_92646_00-51-31.288.jpg,92646,00:51:31.288
slides/slide_94303_00-52-26.576.jpg,94303,00:52:26.576
slides/slide_94479_00-52-32.449.jpg,94479,00:52:32.449
slides/slide_94930_00-52-47.497.jpg,94930,00:52:47.497
slides/slide_95011_00-52-50.200.jpg,95011,00:52:50.200
slides/slide_95505_00-53-06.683.jpg,95505,00:53:06.683
slides/slide_95581_00-53-09.219.jpg,95581,00:53:09.219
slides/slide_96691_00-53-46.256.jpg,96691,00:53:46.256
slides/slide_97025_00-53-57.400.jpg,97025,00:53:57.400
slides/slide_100871_00-56-05.729.jpg,100871,00:56:05.729
slides/slide_101894_00-56-39.863.jpg,101894,00:56:39.863
slides/slide_102622_00-57-04.154.jpg,102622,00:57:04.154
slides/slide_102779_00-57-09.392.jpg,102779,00:57:09.392
slides/slide_102802_00-57-10.160.jpg,102802,00:57:10.160
slides/slide_103072_00-57-19.169.jpg,103072,00:57:19.169
slides/slide_103563_00-57-35.552.jpg,103563,00:57:35.552
slides/slide_103687_00-57-39.689.jpg,103687,00:57:39.689
slides/slide_104139_00-57-54.771.jpg,104139,00:57:54.771
slides/slide_104959_00-58-22.131.jpg,104959,00:58:22.131
slides/slide_106631_00-59-17.921.jpg,106631,00:59:17.921
slides/slide_107869_00-59-59.228.jpg,107869,00:59:59.228
slides/slide_108727_01-00-27.857.jpg,108727,01:00:27.857
slides/slide_109527_01-00-54.550.jpg,109527,01:00:54.550
slides/slide_110290_01-01-20.009.jpg,110290,01:01:20.009
slides/slide_110872_01-01-39.429.jpg,110872,01:01:39.429
